model_path,layer_id,moe_backend,input_tokens,top_k,total_token_expert_rows,active_experts,rows_per_active_expert,active_rows_min,active_rows_max,active_rows_mean,cuda_event_fused_moe_ms,profiler_kernel_sum_ms,prefix_sum_ms,dispatch_expand_ms,gemm1_gate_up_activation_ms,gemm2_down_ms,finalize_combine_ms,gemm1_tflops,gemm2_tflops,gemm_total_tflops,end_to_end_tflops
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,1,16384.0,16384,16384,16384.0,7.248932647705078,7.224777999999999,0.012255999999999857,0.18271900000000005,4.4366579999999995,2.2460419999999996,0.16355099999999947,185.86821901350072,183.5748665501358,185.09742787316506,170.63899492011467
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,2,8192.0,8192,8192,8192.0,7.263467407226562,7.248323000000001,0.012032000000000152,0.19222300000000017,4.44411,2.2533670000000003,0.16310400000000028,185.55655031761137,182.97812136948838,184.6890375656385,170.2975331062041
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,4,4096.0,4096,4096,4096.0,7.2588142395019535,7.252977,0.011968000000000074,0.18774299999999994,4.470615,2.2524430000000004,0.15052800000000024,184.4564385061116,183.05318288453913,183.98630225233816,170.40670010765703
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,8,2048.0,2048,2048,2048.0,7.327788543701172,7.331183000000002,0.012127999999999702,0.18720000000000003,4.545717,2.257915000000001,0.14835100000000057,181.40894403061168,182.6095581171124,181.80739070661082,168.8027122877692
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,16,1024.0,1024,1024,1024.0,7.4017997741699215,7.402435,0.01225700000000029,0.18630500000000005,4.6024650000000005,2.27904,0.13987199999999939,179.17218725878413,180.91690379106993,179.7500083554397,167.11483949681934
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,32,512.0,512,512,512.0,7.543292999267578,7.529527000000001,0.012511999999999718,0.18761599999999998,4.696635,2.313661000000001,0.13673600000000077,175.57969074284037,178.20971197422602,176.44769653777814,163.98018496273477
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,16384,1,16384,64,256.0,256,256,256.0,7.793048095703125,7.791072000000001,0.013375999999999975,0.18476800000000002,4.920161,2.3577920000000003,0.13359900000000016,167.60299527434162,174.87414513918102,169.95858330604773,158.72487453657843
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,1,32768.0,32768,32768,32768.0,14.07681884765625,14.313771000000001,0.01779199999999992,0.3778869999999999,8.725663,4.475791999999999,0.3453739999999998,189.01342415630762,184.2430838680618,187.39609857367998,175.7429138834089
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,2,16384.0,16384,16384,16384.0,13.832882690429688,13.561805000000001,0.017825000000000046,0.373471,8.261985000000001,4.193104000000001,0.34598300000000015,199.62120987438246,196.6642660978597,198.62573141757557,178.84205467943238
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,4,8192.0,8192,8192,8192.0,13.591659545898438,13.562034000000002,0.017824000000000294,0.374336,8.263158,4.189979999999999,0.34672000000000114,199.59287256325,196.81089667062852,198.6568495824908,182.0161220299658
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,8,4096.0,4096,4096,4096.0,13.588192749023438,13.576932999999999,0.018015999999999848,0.37427199999999994,8.278287,4.202166999999999,0.33647899999999936,199.22810620892943,196.24011155006454,198.2220488530305,182.06256035584977
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,16,2048.0,2048,2048,2048.0,13.586070251464843,13.565937,0.018336000000000012,0.37443200000000004,8.278198,4.1939150000000005,0.3341759999999995,199.23024813661138,196.6262360663008,198.3546142097975,182.0910032633804
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,32,1024.0,1024,1024,1024.0,13.627398681640624,13.620038,0.01891100000000006,0.37436699999999995,8.312994,4.21642,0.32512099999999916,198.39632287284218,195.57675014158932,197.44747539637527,181.5387676173985
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,32768,1,32768,64,512.0,512,512,512.0,13.937910461425782,13.947743,0.02016000000000008,0.37359999999999993,8.622911,4.242464,0.3207039999999997,191.26573864255354,194.37612689983933,192.29141494095583,177.4944077408668
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,65536,1,65536,1,65536.0,65536,65536,65536.0,27.038351440429686,27.020788000000007,0.03340699999999998,0.7575989999999999,16.405926,8.367826,0.714783000000003,201.05752539222715,197.096287812868,199.7195388486976,182.9920117686499
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,65536,1,65536,2,32768.0,32768,32768,32768.0,27.049221801757813,27.034034999999996,0.03350400000000013,0.752895,16.422532999999998,8.365841999999997,0.7183019999999997,200.85420947718606,197.14303015333073,199.60172157279376,182.91847215621053
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,65536,1,65536,4,16384.0,16384,16384,16384.0,27.05201416015625,27.028768999999997,0.033663999999999986,0.750975,16.422125,8.368790999999998,0.7135989999999983,200.8591996058975,197.0735607645119,199.58126295099382,182.89959097683032
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,65536,1,65536,8,8192.0,8192,8192,8192.0,27.081494140625,27.06095,0.03407999999999993,0.750816,16.452281,8.370364999999998,0.7130879999999997,200.49103728097035,197.03650219124262,199.32614456138157,182.70049279038088
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,65536,1,65536,16,4096.0,4096,4096,4096.0,27.109884643554686,27.108718,0.03491200000000003,0.755231,16.498528999999998,8.373905000000002,0.7059180000000015,199.9290290260423,196.95320661793986,198.927146615084,182.50916188123026
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,65536,1,65536,32,2048.0,2048,2048,2048.0,27.341244506835938,27.310878,0.035999999999999775,0.7487039999999999,16.669823,8.416958999999999,0.6996159999999981,197.87461950423827,195.9457616062999,197.22746125796448,180.96478101993256
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,65536,1,65536,64,1024.0,1024,1024,1024.0,27.675177001953124,27.511875,0.03766399999999999,0.7494400000000001,16.851074,8.439617000000002,0.6966719999999986,195.7462701385087,195.41970229976073,195.6372929862612,178.78123506284416
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,2048,8,16384,8,2048.0,2048,2048,2048.0,6.473697662353516,6.449158999999999,0.005216999999999871,0.07161599999999999,4.153614999999999,2.108183,0.09884799999999995,198.5339808412672,195.57925493944313,197.53920219847404,191.07326998621465
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,2048,8,16384,16,1024.0,1024,1024,1024.0,6.504342651367187,6.513515000000002,0.005185000000000059,0.079135,4.198931000000001,2.1207930000000004,0.09779100000000017,196.39134837700354,194.41636237765778,195.72857631883923,190.17303477823356
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,2048,8,16384,32,512.0,512,512,512.0,6.692387390136719,6.682855,0.005248000000000048,0.0809269999999999,4.354,2.135513,0.09558299999999963,189.39681231786864,193.07625868632033,190.60761281285664,184.82949493793882
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,2048,8,16384,64,256.0,256,256,256.0,6.978224182128907,6.968499999999999,0.005248000000000048,0.08294399999999996,4.5878950000000005,2.1869079999999994,0.09398399999999947,179.74119303776567,188.53873158633107,182.5810405480425,177.25864761063505
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,4096,8,32768,8,4096.0,4096,4096,4096.0,12.997474670410156,12.941600000000003,0.005985000000000013,0.17478300000000002,8.322112,4.195776000000001,0.21936000000000058,198.17895285043025,196.53902420720263,197.62927759826573,190.33706356266606
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,4096,8,32768,16,2048.0,2048,2048,2048.0,13.072650146484374,13.048864000000002,0.006079999999999985,0.18819299999999997,8.402559,4.215167999999999,0.21244800000000033,196.28156632568718,195.63484084904806,196.06551659391587,189.24251278623146
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,4096,8,32768,32,1024.0,1024,1024,1024.0,13.219859313964843,13.184145000000001,0.006112000000000023,0.20640000000000003,8.51023,4.231131000000001,0.20604800000000068,193.79822186521397,194.896759479203,194.16302249783203,187.13521102926458
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,4096,8,32768,64,512.0,512,512,512.0,13.516868591308594,13.436924000000001,0.006143999999999948,0.206592,8.731517,4.266687,0.20198400000000039,188.88670109260514,193.27260725523107,190.3263837447081,183.02324578983698
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,8192,8,65536,8,8192.0,8192,8192,8192.0,26.094622802734374,26.025815,0.010879999999999996,0.5985300000000001,16.586275,8.340048999999999,0.4283530000000028,198.87134895134682,197.75272803121425,198.4970718101875,189.61003431226203
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,8192,8,65536,16,4096.0,4096,4096,4096.0,26.122772216796875,26.101995000000002,0.011167999999999779,0.509152,16.742344,8.351459000000002,0.4250560000000005,197.01750742476682,197.48255264906402,197.17227894839215,189.40571406164065
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,8192,8,65536,32,2048.0,2048,2048,2048.0,26.389236450195312,26.394201999999996,0.011200000000000045,0.5227520000000001,16.994,8.390184000000001,0.4161289999999972,194.09996959679887,196.5710694382864,194.91673732714827,187.49319762737508
/home/yangshen/.cache/huggingface/hub/models--tencent--HunyuanImage-3.0-Instruct/snapshots/2ec2c78bee7d4b94157341fba86c4c2c7b1858b2,15,auto,8192,8,65536,64,1024.0,1024,1024,1024.0,26.684307861328126,26.613219,0.011583000000000027,0.512127,17.137956000000003,8.479136999999998,0.4096319999999978,192.46956190854962,194.50888005041085,193.1445665982475,185.4199236009616
